Particular Baptist Devotional - 365-Day Schedule
====================================================================================================

Day   1 | Jan 1      | Catechism  | Q&A #1               | The Baptist Catechism (Keach's)
Day 338 | Dec 4      | 2LBCF      | Ch. 27 §1           | Of Communion of Saints
Day 339 | Dec 5      | 2LBCF      | Ch. 27 §2           | Of Communion of Saints
Day 340 | Dec 6      | Catechism  | Q&A #98              | The Baptist Catechism (Keach's)
Day 341 | Dec 7      | 2LBCF      | Ch. 28 §1           | Of Baptism and the Lord's Supper
Day 342 | Dec 8      | 2LBCF      | Ch. 28 §2           | Of Baptism and the Lord's Supper
Day 343 | Dec 9      | Review     | Weekly review & reflection | Journal your thoughts on this week's theme
Day 344 | Dec 10     | Catechism  | Q&A #99              | The Baptist Catechism (Keach's)
Day 345 | Dec 11     | 2LBCF      | Ch. 28 §3           | Of Baptism and the Lord's Supper
Day 346 | Dec 12     | 2LBCF      | Ch. 28 §4           | Of Baptism and the Lord's Supper
Day 347 | Dec 13     | Catechism  | Q&A #100             | The Baptist Catechism (Keach's)
Day 348 | Dec 14     | 2LBCF      | Ch. 29 §1           | Of Baptism
Day 349 | Dec 15     | 2LBCF      | Ch. 29 §2           | Of Baptism
Day 350 | Dec 16     | Review     | Weekly review & reflection | Revisit your favourite reading from this week
Day 351 | Dec 17     | Catechism  | Q&A #101             | The Baptist Catechism (Keach's)
Day 352 | Dec 18     | 2LBCF      | Ch. 29 §3           | Of Baptism
Day 353 | Dec 19     | 2LBCF      | Ch. 29 §4           | Of Baptism
Day 354 | Dec 20     | Catechism  | Q&A #102             | The Baptist Catechism (Keach's)
Day 355 | Dec 21     | 2LBCF      | Ch. 30 §1           | Of the Lord's Supper
Day 356 | Dec 22     | 2LBCF      | Ch. 30 §2           | Of the Lord's Supper
Day 357 | Dec 23     | Review     | Weekly review & reflection | Meditate on a Scripture tied to this week's doctrine
Day 358 | Dec 24     | Catechism  | Q&A #103             | The Baptist Catechism (Keach's)
Day 359 | Dec 25     | 2LBCF      | Ch. 30 §3           | Of the Lord's Supper
Day 360 | Dec 26     | 2LBCF      | Ch. 30 §4           | Of the Lord's Supper
Day 361 | Dec 27     | Catechism  | Q&A #104             | The Baptist Catechism (Keach's)
Day 362 | Dec 28     | 2LBCF      | Ch. 30 §5           | Of the Lord's Supper
Day 363 | Dec 29     | 2LBCF      | Ch. 30 §6           | Of the Lord's Supper
Day 364 | Dec 30     | Review     | Weekly review & reflection | Write a short reflection — what stood out most?
Day 365 | Dec 31     | Catechism  | Q&A #105             | The Baptist Catechism (Keach's)

